ID,Patron Name,Date Joined,Expiration Date,Barcodes,Emails
128504,"JONES, ROBIN W",7/27/1990,8/1/2015,"['25064002425608', '25064000687175 REPORTED LOST 3/24/08 JCD']",elizachary99@gmail.com
127844,"SMITH, PHYLLIS M",7/27/1990,6/1/2020,"['25064000016607 LOST 1-28-12 khm', '25064002842992']",ddunn@townofchapelhill.org
127819,"JONES, MICHELE N",7/27/1990,8/8/2014,"['25064002812862', '25064002706197 REPLACED 9/20/12 JCD']",ddunn@townofchapelhill.org
128361,"SMITH, FRANCES W",7/27/1990,7/20/2011,['25064002311311'],ddunn@townofchapelhill.org
127707,"JONES, CHARLOTTE R",7/27/1990,10/27/2015,['25064001064655'],ddunn@townofchapelhill.org
127669,"SMITH, ANNA D",7/27/1990,8/1/2020,['25064003260913'],ddunn@townofchapelhill.org
128190,"JONES, KATHERINE",7/27/1990,8/31/2019,['25064003133797'],ddunn@townofchapelhill.org
127634,"SMITH, ANNE",7/27/1990,7/8/2020,['25064002311568'],ddunn@townofchapelhill.org
127935,"SMITH, MARY KENT",7/27/1990,7/1/2020,['25064000035516'],ddunn@townofchapelhill.org
127729,"JONES, Bertie",7/27/1990,1/23/1997,['25064000366747'],ddunn@townofchapelhill.org
129221,"JONES, JUSTIN",7/27/1990,5/22/2006,"['25064000453701', '25064000278116 reported lost 08-19-94 tbp', '25064000242658 lost 7/25/93 jhc', '25064000027331 reported stolen.  Replaced 2/19/93 , JB']",ddunn@townofchapelhill.org
129210,"JONES, MICHAEL ROY",7/27/1990,8/29/2020,['25064002645395'],ddunn@townofchapelhill.org
129660,"JONES, LEE D",7/27/1990,4/19/2018,['25064002104989'],ddunn@townofchapelhill.org
129471,"JONES, KAREN A",7/27/1990,4/8/2018,['25064003056709'],ddunn@townofchapelhill.org
129482,"JONES, CLAIRE",7/27/1990,11/9/2020,['25064002618913'],ddunn@townofchapelhill.org
129082,"SMITH, Benjamin",7/27/1990,4/12/1999,"['25064000526779', '25064000339140 reported lost 11-27-94 ro']",ddunn@townofchapelhill.org
128962,"JONES, VIRGINIA ANN",7/27/1990,11/29/2012,"['25064002758032', '25064000008851REPLACED 11-29-11 KJC']",ddunn@townofchapelhill.org
128599,"Smith, Amy Suzanne",7/27/1990,2/1/1991,['25064000325099'],ddunn@townofchapelhill.org
129111,"Jones, Una Jean",7/27/1990,1/7/1995,['25064000373230'],ddunn@townofchapelhill.org
